127.0.0.1 - - [05/Nov/2014 16:47:41] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [05/Nov/2014 16:47:41] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [05/Nov/2014 16:47:42] "GET / HTTP/1.1" 200 3264 0.0186
127.0.0.1 - - [05/Nov/2014 16:47:42] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:42] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:42] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0004
127.0.0.1 - - [05/Nov/2014 16:47:42] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0026
127.0.0.1 - - [05/Nov/2014 16:47:42] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:42] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0004
127.0.0.1 - - [05/Nov/2014 16:47:42] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [05/Nov/2014 16:47:42] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0007
127.0.0.1 - - [05/Nov/2014 16:47:44] "GET / HTTP/1.1" 200 3264 0.0126
127.0.0.1 - - [05/Nov/2014 16:47:44] "GET /javascripts/jquery-2.1.1.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:44] "GET /javascripts/bootstrap.320.min.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:44] "GET /javascripts/nprogress.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:44] "GET /javascripts/js_utils.js HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:44] "GET /javascripts/application.js HTTP/1.1" 304 - 0.0004
127.0.0.1 - - [05/Nov/2014 16:47:44] "GET /javascripts/jquery_sinatra.js HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:44] "GET /stylesheets/bootstrap.320.min.css HTTP/1.1" 304 - 0.0006
127.0.0.1 - - [05/Nov/2014 16:47:44] "GET /stylesheets/nprogress.css HTTP/1.1" 304 - 0.0005
127.0.0.1 - - [05/Nov/2014 16:47:46] "GET / HTTP/1.1" 200 3264 0.0148
